0,Nuclear energy is better than coal according to climate activist @GretaThunberg  https://t.co/OVl77j0eUS
1,GB Grid: #Nuclear is generating 4.44GW (13.66%) out of 32.54GW
2,"@MHGottlieb @Arpe_DK @LimitingThe @BrianVad Are you forgetting to factor in wasted wind energy from into that equation. For all the energy they produce, only a fraction is consumed. That would put EV and ICEV on much more equal footing despite the inefficiencies of ICEV's. Nuclear energy would be a different story."
4,"@TheRoyGreenShow Podcast, Nov, 20: Virus masking with Dr's Neil Rau &amp; Martha Fulford. – Cara Zwibel of CCLA on Final EA Inquiry week. – Lawyer Scott Taylor &amp; client Riley on Trans co-parenting B.C. court case. – Dr. Chris Keefer Nuclear Energy After COP27.  https://t.co/u9MKG6qSNm"
7,"Don't buy EV.  Not because Musk Man Bad, but because EV is science fiction and will be obsolete in our apparent destiny going carbon-free.  It is literally impossible to sustain EV without fossil fuels and MASSIVE investment in nuclear energy."
9,@speedbump7777 @RastelliSteve @1ann1rey @FoxNews When is Biden and democrats going to support nuclear energy waiting.
10,"@HugoBlackKKK @RastelliSteve @1ann1rey @FoxNews All countries that need foreign oil/gas to live have a huge problem, only going alternative source of energy can prosper. Nuclear Energy, Geothermal Energy, Hydroelectric Energy, wind, solar."
11,"@InWuchang You can stop taking the article seriously when Oreskes' name comes up in the first section. She thinks people who advocate nuclear energy are climate and renewable energy deniers, which means most of France."
12,GB Grid: #Nuclear is generating 4.44GW (12.95%) out of 34.30GW
14,@boltyboy @bellachu10 @DavidZipper @stevevance @tonyseba “You are concerned about the future of the planet and you want to create MORE poison”  You will never achieve your goals without nuclear energy…never.  Any serious plan includes nuclear power generation otherwise you are a charlatan.
15,@Ryusaijin — magic but the energy of nature itself. The flames were absent of any demonic or holy nature yet held scientific properties of constant burning of nuclear energy behind it.   Such flames could be dangerous especially when pushed to its highest  level however the elder dragon —
16,That time in 1985 when Bill Blaikie called for a moratorium on nuclear energy  https://t.co/4MBRCcReAY
17,"“Nuclear energy is essential to meeting our climate goals, which are existential. And we cannot do it without nuclear.” @katyhuff from @GovNuclear shares why nuclear energy is critical to cut our greenhouse gas emissions with @NPR 📻:  https://t.co/F1IUxXx4eS"
18,"If I wanted to work on furthering American energy independence and specifically normalizing and legalizing nuclear energy tech, where would you suggest I look/listen/read/donate my time/focus/energy/influence/creativity?"
19,@VulgarMarxist Nuclear energy
20,"Nuclear Energy: Abundant, Clean, and Safe | PragerU  https://t.co/QmHk4nPrQv"
21,@prageru Nuclear energy has been deliberately tarnished by propaganda in order to weaken American energy independence.
22,"If you want something ""clean"" &amp; ""sustainable"" look to nuclear energy.  https://t.co/RWURl3dq8I"
23,"If you want something ""clean"" &amp; ""sustainable"" look to nuclear energy.  https://t.co/2wG0G33gNV"
24,"@Buscusriot @superxoliver 1) And the science is still mostly on the side of nuclear energy, you just have to dig deeper because on a surface level there are a lot of uninformed leftist climate activists who suck but dig deeper and the facts will start to show, the technology just has to be adopted"
25,"You don't have mercy on young and old with a shotgun..., you want nuclear energy for peaceful purposes!!! #Woman_Life_Freedom"
26,"This is why I have an issue with nuclear energy...it's not the tech that's the problem, it's the human corruption that comes into play. This movie changed my whole perspective on the matter."
27,@ShellenbergerMD What also irritates me about climate activists is the inability to have a rational discussion with them. I somewhat agree with thier message and that's why I believe nuclear energy has to be on the table to have a realistic solution. Not even an option for them.
28,"@GoodTexture @k_parsnips @JustStop_Oil Nuclear Energy is not an option given the time constraints on the energy budget. Also other considerations of cost, building and eventual decommission.  Battery technology is improving all the time, in line with developments in Renewable Energy."
29,@75002Parisienne @DylanLeClair_ Oh wow this makes everything perfect then. I'm sure the dictators put in place deposit that 50% as the will of the people. Wait what is this I'm hearing? France is the biggest producer of Nuclear energy in the world with 0 uranium on its soil? Niger who? Blue Helmets who?
30,"@Buscusriot @superxoliver 4) perfect example of dogmatism (just look around yourself I said, well look at how you're acting, you're a living example lol)  The left can't accept that nuclear energy is clean and safe, that out behaviors are largely driven by biology and evolution and that societies are"
31,"@BBGNewEconomy If the answer wasn't ""Nuclear energy."", it's BS."
32,GB Grid: #Nuclear is generating 4.44GW (12.57%) out of 35.32GW
33,A successful NFT project is sorta like nuclear energy
36,"@GeoB003 @detroitnews Yeah, because nuclear energy is SOOOOOO clean. /s"
37,"The Liberal Party’s candidate for Narre Warren North says Australia should not recognise First Nations people because “we won this land fair and square”, that waste from nuclear energy should be dumped in Alice Springs, and that he would vote to ban abortion."
38,"Anything is Possible! Congratulations to all of @INL, your leadership team @john_c_wagner @JessGehin, nuclear scientist, engineers and staff. You are amazing &amp; our journey on #ThePathToZero continues together 🙏🏼⚛️💜🇺🇸🚀 #MicroReactor #NuclearEnergy #CleanEnergy #CarbonFree #ZEUS"
39,At #COP27  @SecGranholm reaffirmed US @ENERGY's view that acceptance of #Nuclear #energy is gathering momentum↗️ &amp; enthusiasm😃 as key to meeting #CleanEnergy demands in a sustainable and secure low-carbon future🌞⚛️🌎🤠🐂 #Uranium #EnergyTransition 📺 👉 https://t.co/KiVy3f8Gol  https://t.co/0MeN06LQMO
40,@Mining_Atoms Renewable energy lobbyists love the Energiewende. There is a lot of money to be made with sky high energy prices and the destruction of the nuclear energy sector.
41,@Fawkesyouguy @Tantum_Iustitia @EvaVlaar @EmmanuelMacron @GiorgiaMeloni 🤔 dont understand wtf ? you count on french work to work less 😂 wtf ? stay in your dumb country shoot on tornadoes and vote law to guarantee your right like abortion and gay right during we spend Time on nuclear energy 🤣
42,"@Tinkeringhalo2 Look up Galen Winsor, he was a champion of nuclear energy. Of Course the Government was interfering and mucking it up."
43,Shotgun for killing Iranian protestors and nuclear energy for peaceful purposes. Yeah right #MahsaAmini
45,"FIFA World Cup: Qataropens Mideasts first tournament before leaders, fans – National #NuclearEnergy #Nuclear #AtomicEnergy #NuclearFission #NuclearReactors [Video]  https://t.co/sBPhr8D3FV"
48,"The @GlobeandMail: #Nuclear #energy is key in solving our climate conundrum🗝️⚛️🌞 ""the time has come for a commitment to advancing one compelling solution – nuclear energy – to resolve the near-existential threat posed by #ClimateChange""🤠 #Uranium #COP27  https://t.co/oabnFe8RQ6"
