0,Terraforming Mars and Venus will make us a first level civilization. We need a new type of rocket propulsion system called Solar Magnetic Atmospheric Propulsion using the sun and salt water or nuclear power to move massive structures into space with massive turbines and steam.  https://t.co/roxT230wME,positive
1,"@jimboy__ @TiceRichard You need 790 wind turbines to produce the same energy as a nuclear power plant which only run at 25% anyway.. and nearly a thousand of them to replace a coal powered plant. In order to switch to just wind we would need over 75,000.. at a cost of £3million each to begin..",positive
2,@l33d5un1t3d1 @dontnuke Nuclear is NOT dispatchable. Nuke plants are either full power or shut down. They CAN’T ramp up and down to meet demand.,negative
3,Absolute bullshit. 50000 jobs? Where? Your a bloody lier You know nothing about renewable energy if you did you'd be insisting on nuclear energy,positive
4,"@helenczerski @bobbyllew Renewables and nuclear do not need to be mutually exclusive. Nuclear power can provide high heat output (850-1000°C) to drive industrial processes, for example, high temperature electrolysis, thermal cracking or sulphur-iodine cycle to generate hydrogen with higher efficiency.",positive
5,"Brian, let’s not forget the industry you now work in… #NuclearEnergy.  Nuclear produces 800M zero-emission MWHrs ANNUALLY, enough to provide all the energy for 70M homes, or take 100M emissions-generating cars off the road, or 3M rail cars worth of coal!",positive
6,@M58Mike @BrianGitt @AlexEpstein As batteries keep developing (including sodium ion and other types) and nuclear energy finally is making a comeback (One of the few things where I agree with Alex) the clean energy grid will manage to be just as reliable,positive
7,GB Grid: #Nuclear is generating 4.36GW (11.67%) out of 37.40GW,neutral
8,@janhaverkamp @iaeaorg  Nuclear energy is NOT our future! Until today the disposal of nuclear waste is not secured! Our Future: Local Bidirectional Electricity Hydrogen Economy H2 from biomass/waste price 3 ct./kWh with 900g active CO2 removal per kg hydrogen.  https://t.co/8qZk9W9ZR7,negative
9,"LNP refined preselection. LNP candidate for Narre Warren North says Australia shouldn’t recognise 1st Nations people because “we won this land fair &amp; square”, waste from nuclear energy should be dumped in Alice Springs, &amp; that he’d vote to ban abortion. FedLNP? @PeterDutton_MP",neutral
10,"#FollowTheMoney  “This level of support for nuclear energy at the state level, combined with the local support for Coles Hill, gives [Consolidated] confidence that the moratorium on developing uranium projects in the state may ultimately be overcome”  https://t.co/ckiVlj1OHV",positive
11,@Reformed_Trader Hell yes.,neutral
12,"@PosyHill1 @Nunsleuth Best you keep away from nuclear power stations, Posy 👍",neutral
13,GB Grid: #Nuclear is generating 4.27GW (15.34%) out of 27.85GW,neutral
15,@One5Writer @LoneCourier2 @Gishuvski @MwangalaG I do agree but there's one downside to nuclear energy and it is its long term sustainability and the nuclear waste management which is damn expensive.,negative
16,@ArisakaAya Nuclear energy was always the answer but we got blue balled by HBO,positive
17,"Is the Copenhagen Atomics Nuclear ""Waste Burner"" a Clean Energy game-changer?  https://t.co/OS4eblaztn  #COP27 #ClimateAction #climate #NuclearEnergy  https://t.co/9FeEC4rYXj",positive
18,"@HAWTToys Az, back in the spring they also fired a drone into Croatia. Which is also a NATO country. And that drone flew over the hungarian nuclear power plant.",neutral
19,@iLoveJaneAdams Why? Nuclear energy isn't free or extremely cheap. Its on par with current costs just has no carbon emissions,neutral
20,"Anything is Possible! Congratulations to all of @INL, your leadership team @john_c_wagner @JessGehin, nuclear scientist, engineers and staff. You are amazing &amp; our journey on #ThePathToZero continues together 🙏🏼⚛️💜🇺🇸🚀 #MicroReactor #NuclearEnergy #CleanEnergy #CarbonFree #ZEUS",positive
21,This is why nuclear energy isn't sustainable,negative
22,先の事はともかく、今晩はこちらが在ります。,neutral
23,"Hey there European Greenies, how's that ""Nuclear Power Phase Out"" policy working out for you? Just like the Engineers told you it would but you did it anyway.",positive
24,Japan’s changing nuclear energy policy  https://t.co/jJ4n9haPxn,positive
25, https://t.co/0z79ZF6fqs will @PresidencyZA @CyrilRamaphosa @ddmabuza @ParliamentofRSA @GovernmentZA @TreasuryRSA ignore sound counsel from the likes of Princess abt Nuclear Energy?  Klerksdorp is ready for second plant to help Koeberg @necsa_Ltd @DMRE_ZA plus the @IDCSouthAfrica,neutral
26,"Nuclear power capacity worldwide is increasing steadily, with about 55 reactors under construction. Most reactors on order or planned are in the Asian region #nuclear #NuclearEnergy #NuclearManufacturing22",positive
27,"Why should we teach nuclear law...? ⚡️  Currently, many master's degree programmes don't consider the place of #NuclearEnergy or nuclear law.  David Ong, Professor of International and Environmental Law from @NLS_NTU, discusses why this is an issue:  https://t.co/ULKPARfN3c",neutral
28,Noice! #NuclearEnergy,positive
29,@BTStranslation_ I was so confused when Instagram translated it for me. Because the German translation was: „the nuclear energy is important“ 😶‍🌫️,positive
30,@HenryK_B_ It's good to see that nuclear is running a reliable 100% to try and keep that coal down. Great job nuclear power.,positive
31,"Unless susceptible to extreme natural disasters, nuclear power plants should not be shut down",positive
32,"Stop pedaling nonsense. Nuclear power is by far the cleanest, safest form of energy ever developed. And it is mathematically impossible to run the world on wind and solar. Wind and solar consume more fossil fuels to make than the energy restured. A waste of time",positive
33,@MatthewJDalby District heating that uses waste heat from a nuclear power station would be more effective.,positive
34,"'We made it to the moon, and then stopped going. We pioneered commercial supersonic air travel, and then discontinued it. We developed nuclear power, and then stopped building new plants.'   https://t.co/BuuIhgcMVD",positive
35,@Jeremy_Hunt You are rubbish. You talk about not leaving debt for future generations but you are forcing thousands of future generations to take care of nuclear waste for thousands of years. Also Nuclear Power Stations will be targets for our enemies.  https://t.co/77D35UgzsP,negative
36,Confidence in nuclear energy The acceptance of evidence should replace traditional caution  https://t.co/lZJEPdfpf3 #nuclear #uranium #thorium #repeal140A #auspol #AusPol2022  https://t.co/KNm3BhcsBV,positive
37,@Ghoul08Ghoul @Ounces50667295 @MArizanti @khamenei_ir Death is better than slavery!  Every other comparison lies somewhere between this.  continue ....  West's nuclear bomb is better than Iranian nuclear energy.,negative
38,Dont be misled by radiophobic lies of the anti #nuclear cult's nut jobs #auspol We need #smr #thorium #NuclearEnergy for any chance of genuine #climate policy,positive
39,"Best bit of information in this article? Nuclear energy has dropped to less than 10% of global electricity generation. All that expense, all that waste, all that danger for an energy source that could be eliminated with just a little conservation.",negative
40,BREAKING: Hopes of restarting Palisades Nuclear Power Plant appear to be dead. The Department of Energy has denied the Holtec's request for civil nuclear credits to help fund reopening.  https://t.co/CPpAuurpoZ,negative
41,"@tomhfh The UK is space restricted. It's better to build nuclear power stations on land, they produce more power and take up less space.  Instead, solar panels and wind turbines can be placed on buildings. That way they are efficient in the usage of space.",positive
42,@POTUS What are you doing to grow nuclear energy? It has to be part of your clean energy plan right?,positive
43,"@ZVaska @Stringe93915124 Wow. Pro-nukers take a situation where the failure of nuke plants is causing problems for entire nations and twist it around to try to blame it on renewables. That’s impressive. Insane, but impressive. Nukes are the problem, not the solution.",negative
44,$PSEI - Marcos eyes nuclear energy partnership with France       https://t.co/ThgbC0Hkif…  https://t.co/EU6a3Rf3ES   https://t.co/qb5Yg9lQl5 #PSETODAY #PSEI #Philippines,positive
45,"Hunts Hypocrisy  Hunt talking about energy 'independence' - he means Scotland's energy, and that signifies further colonising of Scotland's energy assets.   Sizewell will get a 'new nuclear power station'.",neutral
46,"Isn't nuclear energy great, it's so much more reliable and runs at much higher capacity than renewables?  France - errr....",negative
47,Watch Ian Blackford demolish arguments for nuclear power on Question Time  https://t.co/ivvR9ZNH1Y,negative
48,📰 4 #US #nuclear #power plants prepare for #production of clean #hydrogen. Hydrogen has the potential to play an important role in the nation's #transition to 100% clean energy. It can be used in multiple sectors to store and deliver usable energy...  https://t.co/wvHz9v8sCP,positive
50,"@vonderleyen and china will pay 0 again  , eu and the us will fund this money with more debt and garbage legislation to block the real fighter of climate change , nuclear energy , they will starve their own people to fight climate change",positive
51,@opgovph We could seek help from France about nuclear energy..🤔,positive
52,Japan reactivating nuclear power plants  https://t.co/OgU1KjedjZ #nuclear #uranium #thorium #repeal140A #auspol #AusPol2022  https://t.co/l4OBEVAxQw,positive
53,"@545Bryan @samanthamarika1 😂That’s right buddy, it is  “an opinion”. You probably formed it  on your own. Like the hundreds of other people with the same “opinion” that thinks just like Putin! Good one! Those poor little aggressive dictators with nuclear power attacking that mean little country next door.",neutral
54,Supporting #NuclearEnergy is the litmus test of whether you are serious in your support of the environmental agenda or not.,positive
55,"@volplyf @missmenace101 @ProfTerryHughes By the time we could spin up nuclear power, they will have sorted out the issues with renewables +/- storage long ago.  A couple of decades ago it made sense. Not any more.",negative
56,I can’t think of anything exceptional he’s done - is he fighting for nuclear energy or cutting RE state subsidies?,neutral
57,"@BrianGitt By this logic, who is under who’s control with nuclear power?  https://t.co/aezM3E0XYv",neutral
58,"@AnagalisArvensi @dorfman_p Strong argument… Out of your paper: “the “nuclear bro” label is an “attempt to associate support for nuclear energy with an easily imagined political, even demographic, villain.”   IPCC, UN and IEA are all in favor of more nuclear energy in the mix.",positive
59,@fedor552 You need to tell this to everyone who operates nuclear power plants. Urgently! And you should also notify armies that their nuclear bombs are just a lie.,neutral
60,"@reardon_shaun You should check out the new technologies they have for nuclear power, I used to be strongly against it but the new ways to extract nuclear energy is really promising, no chimneys, very little waste and no chance of meltdowns...",positive
62,@TiceRichard @reformparty_uk Reduce taxes to allow the economy to grow… control the greed of the energy sector… build nationalised nuclear power plants (need to be nationalised for security)… look into the impact of fracking… scrap the net zero carbon tax… secure borders…,positive
63,Perhaps we need more nuclear energy?  https://t.co/I4chROWsMM,positive
65,@SquawkCNBC @WilliamCohan GE Capital - get to the point. btw … Westinghouse just signed a massive nuclear energy deal with Poland.  way too much chatter -hard to follow.,neutral
66,"It's Week 2 at #COP27 and ANS delegates @MadiHilly, Anna Schafer of @MEGeorgiaTech, @energybants, @ParisOrtizWines, Seth Grae of @LightbridgeCorp, and @candid_nuclear have arrived to help @Nuclear4Climate advocate why #nuclear energy must be a part of any climate plan!! 👏🥳⚛️🌍",positive
67,@JamesUngerHAS @EvanNel75866272 @OPB Nuclear energy is safe. Have no fear for nuclear energy ‘Cause none of them can stop the time,positive
68,@cheeti8 @MaryamNSharif Nuclear power of 220 million people being held hostage to compromising videos of few black sheep! Tragic,neutral
69,bro actually thinks sonic 06 is a good game 💀  it's like saying nuclear energy is the best way to kill off the human race,positive
71,Nuclear ☢️ is only as secure as the uranium fuel supply. And importing French nuclear energy is only as secure as the crumbling French informal Empire.  https://t.co/PtndRLprID,neutral
72,"As in the #CleanEnergyGrift where #NuclearEnergy is heavily featured along with other non-#CarbonFree generating platforms (#Hydro, #BioMass, #GeoThermal …..).",negative
73,"the only reason why nuclear energy is framed as ""the 'best' option"" for clean energy as opposed to other forms of clean/renewable energy sources is because nuclear energy is the only clean energy source that can be controlled and profited off of",negative
74,GB Grid: #Nuclear is generating 4.42GW (13.41%) out of 32.96GW,neutral
75,GB Grid: #Nuclear is generating 4.24GW (11.16%) out of 37.98GW,neutral
76,"Jeopardy Nuclear Power Plant rocked by tremendous explosion, nuclear agency expressed concern  https://t.co/felOgtkesd",neutral
77,Japan’s changing nuclear energy policy  https://t.co/ekTHFtAywX,neutral
78,GB Grid: #Nuclear is generating 4.22GW (17.17%) out of 24.55GW,neutral
79,"It will certainly cost me £, but doesn't seem egregiously punitive on any group of citizens or businesses. Good to hear commitment to nuclear energy, NHS + care &amp; innovation.  I remain a fan of Hunt (and to a lesser extent, Sunak)  #AutumnStatement",positive
80,"Nuclear power provides a quarter of the world’s low-carbon electricity – and further harnessing its enormous potential could power our transition to green, sustainable economies, writes @rafaelmgrossi @iaeaorg  https://t.co/nVjDN1CT3N @g20org #G20BaliSummit #G20Indonesia2022  https://t.co/TCRB5vdoFQ",positive
81,"We were delighted to welcome Prof @FrancisLivens (PhD ‘85) back to the School as part of our #chem275 celebrations, where enlightened us on the future of nuclear energy and chemistry in the UK!  https://t.co/isumOustsI",positive
82,"@AJiazhang There is a maximalist nuclear skepticism position, which is that for fundamental reasons, nuclear power cannot be an economical option, and there is a realist nuclear skepticism position, which is that for contingent reasons it is not a realistic near-term option.",negative
83,"@disclosetv nuclear energy is clean, cheap, and abundant.",positive
